filename,width,height,class,xmin,ymin,xmax,ymax
2d94e4aa09c1c7de_jpg.rf.3380903ed05530ff08eb976da1ac7665.jpg,416,416,Motorcycle,92,272,139,369
a438cdc02b45c29c_jpg.rf.3495784486b7f07491fbbd80c20b898e.jpg,416,416,Motorcycle,81,124,318,280
b856e2f0ec2e5fcc_jpg.rf.3650bfe3f21d12f32f9e916540e5be57.jpg,416,416,Bus,75,105,319,360
b856e2f0ec2e5fcc_jpg.rf.3650bfe3f21d12f32f9e916540e5be57.jpg,416,416,Bus,319,4,415,305
VID_20220915_160432_mp4-244_jpg.rf.3451b18ffb4bf01fbde2554fe573dec0.jpg,1920,1080,bike,1522,778,1531,779
VID_20220915_160432_mp4-244_jpg.rf.3451b18ffb4bf01fbde2554fe573dec0.jpg,1920,1080,micro,1207,469,1504,829
VID_20220915_160432_mp4-244_jpg.rf.3451b18ffb4bf01fbde2554fe573dec0.jpg,1920,1080,bike,335,237,392,335
VID_20220915_160432_mp4-244_jpg.rf.3451b18ffb4bf01fbde2554fe573dec0.jpg,1920,1080,bike,605,210,655,303
VID_20220915_160432_mp4-244_jpg.rf.3451b18ffb4bf01fbde2554fe573dec0.jpg,1920,1080,bike,1177,214,1213,302
VID_20220915_160432_mp4-244_jpg.rf.3451b18ffb4bf01fbde2554fe573dec0.jpg,1920,1080,bike,654,146,688,223
VID_20220915_155944_mp4-92_jpg.rf.34b5fbda1d1a3bd881f11e34079b74e5.jpg,1920,1080,bike,214,256,216,258
VID_20220915_155944_mp4-92_jpg.rf.34b5fbda1d1a3bd881f11e34079b74e5.jpg,1920,1080,bus,344,237,348,237
VID_20220915_155944_mp4-92_jpg.rf.34b5fbda1d1a3bd881f11e34079b74e5.jpg,1920,1080,bus,1107,146,1257,280
VID_20220915_155944_mp4-92_jpg.rf.34b5fbda1d1a3bd881f11e34079b74e5.jpg,1920,1080,bus,1047,110,1128,198
VID_20220915_155944_mp4-92_jpg.rf.34b5fbda1d1a3bd881f11e34079b74e5.jpg,1920,1080,bus,48,103,213,221
VID_20220915_155944_mp4-92_jpg.rf.34b5fbda1d1a3bd881f11e34079b74e5.jpg,1920,1080,bus,560,379,801,802
VID_20220915_155944_mp4-92_jpg.rf.34b5fbda1d1a3bd881f11e34079b74e5.jpg,1920,1080,bike,1373,506,1448,658
63ee0ce9f69bf8e5_jpg.rf.34873c78dfb1235404e211f30795f32a.jpg,416,416,Ambulance,68,130,352,329
